cycle,r2_single,r2_delta,rmse_single,rmse_delta,filename
0,0.40747539321546977,0.6528392963049352,1.3623835202613204,1.042825077247433,data/A2a.smi
1,0.6277255780891167,0.6517278107945301,1.288889918517165,1.2466473715672683,data/A2a.smi
2,0.3200776270044635,0.332749988486124,1.1582463378316403,1.14740190002185,data/A2a.smi
3,0.5191409911768416,0.47005982953939196,1.2772513655966584,1.3408522274343684,data/A2a.smi
4,0.6643731903361592,0.7484836421748162,1.0462386955191065,0.9057025153660062,data/A2a.smi
5,0.3629175678661555,0.6544666949411904,1.2525989685624859,0.9224847432370179,data/A2a.smi
6,0.24245905635071574,0.25768888206937535,1.409011232063366,1.3947757322167487,data/A2a.smi
7,0.5502852140981689,0.6872754478528093,1.329492972150366,1.108660187795982,data/A2a.smi
8,0.5502053471168906,0.30939817643029777,1.0865657295615758,1.3463647093072042,data/A2a.smi
9,0.4978308629552445,0.47332598576003104,1.238283059479023,1.2681361070344972,data/A2a.smi
0,0.5120172092440223,0.5112901091018607,1.1498535478987646,1.1507098767401127,data/ABL1.smi
1,0.41924105432240477,0.4169917592009339,1.2688555777109045,1.2713103591533776,data/ABL1.smi
2,0.4598644210100389,0.45839937363243644,1.0926090936041095,1.0940898700797195,data/ABL1.smi
3,0.5705014505690109,0.5562142239917038,1.0842938929422843,1.1021808224185532,data/ABL1.smi
4,0.5481934388983767,0.5208409355108976,1.0109195836622258,1.041070636389002,data/ABL1.smi
5,0.5410283405406752,0.5178645429404934,1.0399026206576478,1.0658210015652116,data/ABL1.smi
6,0.48779564779306994,0.48962172331151255,1.1878976860689523,1.1857782900798832,data/ABL1.smi
7,0.5833180293971829,0.5594740142795863,1.0131249453731253,1.0417090085648737,data/ABL1.smi
8,0.48448555477862265,0.4717896086707375,1.1238006133372556,1.137554769202353,data/ABL1.smi
9,0.5455438620605058,0.5952019629031737,1.1287667637481178,1.0653134874925043,data/ABL1.smi
0,0.7709128674602723,0.7610702576541104,0.8385223111385681,0.8563462138538105,data/B-raf.smi
1,0.7276080899316046,0.6837591938743228,0.9731968095497815,1.0486064582842602,data/B-raf.smi
2,0.7606341133335988,0.7110476056934976,0.9065554045064403,0.9960390643325152,data/B-raf.smi
3,0.6930622691228674,0.7000111089990124,0.9920986472190817,0.9808041722431942,data/B-raf.smi
4,0.6631812287349959,0.6805661655385739,1.0014804565720106,0.9752922932441872,data/B-raf.smi
5,0.7136980970614579,0.6915753265648014,0.9722456744053263,1.0091098818621758,data/B-raf.smi
6,0.7576149561897927,0.7176019967528617,0.937618451891852,1.012054842019829,data/B-raf.smi
7,0.6172719082853413,0.6293569592183696,1.1558056323285633,1.1374113602158367,data/B-raf.smi
8,0.6893014751128201,0.6830831685020656,1.0489984524968485,1.0594437529072598,data/B-raf.smi
9,0.6780395232246672,0.704262608902565,1.0355247144374287,0.99245838708748,data/B-raf.smi
0,0.3791984612263424,0.4056672974528981,1.0257642158128253,1.0036584973626133,data/COX-1.smi
1,0.368220106485897,0.370089981076529,1.0191136653218171,1.0176044159246,data/COX-1.smi
2,0.4237376450209762,0.3821204798298846,0.924604493132906,0.9574095937380187,data/COX-1.smi
3,0.34578987305296205,0.37971544619025255,1.0331451063311021,1.0060004498874728,data/COX-1.smi
4,0.4728205783015935,0.44133772135123983,0.9574679920365259,0.9856431636882168,data/COX-1.smi
5,0.32296122895569457,0.3208663003397224,1.0829248985640738,1.0845990258236686,data/COX-1.smi
6,0.3154416858940793,0.34056623671129527,1.016733975842167,0.9979015598203966,data/COX-1.smi
7,0.32822998471000253,0.36938773129130786,1.0429189260491565,1.0104654046179893,data/COX-1.smi
8,0.2977658863278261,0.29214222149545277,0.9518819510430464,0.9556858039747043,data/COX-1.smi
9,0.3536515260574392,0.3542742895818187,0.991021316386787,0.990543771620162,data/COX-1.smi
0,0.6610051560215254,0.629303121170472,1.0130099425228523,1.0593186691333913,data/Cannabinoid.smi
1,0.5843538018700236,0.6080476698055275,1.0731748774750027,1.0421379629375709,data/Cannabinoid.smi
2,0.6443171764319848,0.6651211449300167,1.0420592750277906,1.0111249805032954,data/Cannabinoid.smi
3,0.6356261011868309,0.6965790902781692,1.0345421117546194,0.9440550003127326,data/Cannabinoid.smi
4,0.6959617436459503,0.6988642952950328,0.9295684556335935,0.9251206750771787,data/Cannabinoid.smi
5,0.6086348430608393,0.6801666588877486,1.0912908228592477,0.9865322601772546,data/Cannabinoid.smi
6,0.5958026871698008,0.6657693102761406,1.0956700288067962,0.9963369427762457,data/Cannabinoid.smi
7,0.5874708601789407,0.6219697964028572,1.1474597299013936,1.0984325334685707,data/Cannabinoid.smi
8,0.6700923582120532,0.6716659649969557,0.9653962380062033,0.9630910929573027,data/Cannabinoid.smi
9,0.6598598999861782,0.6369032681864236,1.0289940156953776,1.0631513658386447,data/Cannabinoid.smi
0,0.7829078623053662,0.7785974181043076,0.8483868322542066,0.8567679504107345,data/Carbonic.smi
1,0.7753565160744831,0.7870618506136812,0.8444667417397824,0.8221714179733858,data/Carbonic.smi
2,0.7904919970084548,0.7827591165456369,0.8966378753843675,0.9130352643795077,data/Carbonic.smi
3,0.7475530108279143,0.7855238585528915,0.9101133237879949,0.8388800544569586,data/Carbonic.smi
4,0.7545445065520113,0.7539619065428689,0.9525876413553215,0.9537174768190955,data/Carbonic.smi
5,0.7573153249725422,0.7718988430645295,0.8528975988470039,0.8268742345705663,data/Carbonic.smi
6,0.7733076903110527,0.8159461743865787,0.8787892855672204,0.7918424568792062,data/Carbonic.smi
7,0.7980133287645788,0.788029323533018,0.812680977115376,0.8325237484562417,data/Carbonic.smi
8,0.7320878128160528,0.7689144232852811,0.9169636399251414,0.8516130344746157,data/Carbonic.smi
9,0.7995750437845913,0.8013059229580825,0.8538555924015306,0.8501606294807508,data/Carbonic.smi
0,0.7611686397658296,0.7669910584513112,0.8554985338591035,0.8450061836469581,data/Caspase.smi
1,0.7720285435496392,0.7808013175456197,0.8315918986796232,0.815434313427602,data/Caspase.smi
2,0.8035048199627164,0.8318914015081587,0.7707419140889681,0.7128989746609755,data/Caspase.smi
3,0.8107696728261298,0.807797433939028,0.7323020983804677,0.738030821703538,data/Caspase.smi
4,0.8074356307152291,0.8128867617947415,0.7334001965673327,0.7229450919538069,data/Caspase.smi
5,0.7894932292942941,0.7808022681741414,0.7920971618674644,0.8082830110802544,data/Caspase.smi
6,0.810409751367028,0.7993055967113314,0.7489967387464144,0.770618728336748,data/Caspase.smi
7,0.7613486469064042,0.7614107882404567,0.7910572669720026,0.7909542703754495,data/Caspase.smi
8,0.7799857458598649,0.7978221895102737,0.8168168318735891,0.7830076655443872,data/Caspase.smi
9,0.8118536107450838,0.8147467299884986,0.7575298471651354,0.7516830309670343,data/Caspase.smi
0,0.5861763740285895,0.5353589705977879,1.1911915216341704,1.2622132394358871,data/Coagulation.smi
1,0.46641455132347254,0.4698815064526165,1.337672603629944,1.333319778109814,data/Coagulation.smi
2,0.4202885137457062,0.38611702108948354,1.2910280916584616,1.3285335780277603,data/Coagulation.smi
3,0.41716932640110127,0.3742062103049234,1.3974652660743117,1.4480562978296412,data/Coagulation.smi
4,0.4125508586061518,0.3925635289702818,1.3934321787119879,1.4169389240004757,data/Coagulation.smi
5,0.497049749927737,0.47083914214954126,1.1853998297441726,1.215895363055566,data/Coagulation.smi
6,0.5086946489316748,0.48374870436747186,1.2813914918146352,1.3135199284448706,data/Coagulation.smi
7,0.4207710624861173,0.4465286925343731,1.4120351571443779,1.380282368797237,data/Coagulation.smi
8,0.45761963788644067,0.41850986888236685,1.3765654349267107,1.4253320678329384,data/Coagulation.smi
9,0.5168593912873307,0.5029706695561476,1.2529037771854101,1.270784638605526,data/Coagulation.smi
0,0.47742002433429964,0.50472197727285,1.1981642237844954,1.1664456133535777,data/Dihydrofolate.smi
1,0.585981812701057,0.618717993530031,1.0788309919738626,1.0353015388745386,data/Dihydrofolate.smi
2,0.5165131018375189,0.4735179418850338,1.1183577855701037,1.1670251041470383,data/Dihydrofolate.smi
3,0.46563379929895665,0.4716908721493708,1.2111538902582188,1.2042700766560925,data/Dihydrofolate.smi
4,0.4892001486208234,0.5220838457608479,1.0965849303294841,1.060700436339262,data/Dihydrofolate.smi
5,0.663669096944977,0.6328962982896182,0.8995969894329165,0.9398509582537378,data/Dihydrofolate.smi
6,0.3744226738327945,0.28763584869363645,1.2365857230212025,1.319577058032204,data/Dihydrofolate.smi
7,0.4477006224570754,0.37072853193903377,1.3173503447152717,1.4061544737154383,data/Dihydrofolate.smi
8,0.6076443338412933,0.6353497705358266,1.0484938791765217,1.010797550264618,data/Dihydrofolate.smi
9,0.48614473894022026,0.40033198794258573,1.0606749751852549,1.145822537740259,data/Dihydrofolate.smi
0,0.4433302239226007,0.3932397500128306,1.1144771593603005,1.163538912070653,data/Dopamine.smi
1,0.4985193859856938,0.4842560935383393,1.0607280305376947,1.0757070720384745,data/Dopamine.smi
2,0.5095950000999496,0.5996344190900755,1.1043653695593831,0.9978464170142267,data/Dopamine.smi
3,0.34212561358343296,0.469473809163359,1.1974591873127824,1.0753321881881155,data/Dopamine.smi
4,0.5694696257613745,0.5727921087265122,1.0444848458080298,1.0404467982276784,data/Dopamine.smi
5,0.4704850859443791,0.5304708442791606,1.059883105544768,0.9980450702680631,data/Dopamine.smi
6,0.5463385289268726,0.5564602827830019,0.9926737018595675,0.9815373400665146,data/Dopamine.smi
